Person,Frame,X,Y
0,0,337,412
0,15,359,426
0,30,351,426
0,45,359,427
0,75,357,428
0,90,360,448
0,105,370,457
1,0,537,448
1,15,534,449
1,30,536,448
1,45,543,447
1,60,533,448
1,75,527,452
1,90,507,438
1,105,499,450
1,120,491,454
1,135,506,438
1,150,482,460
1,165,475,459
1,180,477,456
1,195,473,452
1,210,479,457
1,225,479,463
1,240,479,457
1,255,478,457
1,270,476,453
1,285,506,445
1,300,511,460
1,315,519,458
1,330,513,452
1,345,513,451
1,360,510,447
1,375,491,442
1,390,450,420
1,405,391,397
1,420,320,344
1,435,279,310
1,450,248,299
1,465,230,254
1,480,223,222
1,495,217,202
1,510,217,185
1,525,196,164
1,540,182,145
2,0,211,83
2,15,184,91
2,30,160,88
3,135,186,88
3,150,215,99
3,165,211,114
3,180,222,123
3,195,235,152
3,210,254,174
3,225,261,208
3,240,293,241
3,255,313,295
3,270,296,372
3,285,249,432
4,165,157,128
4,180,173,136
4,195,184,150
4,210,195,186
4,225,209,211
4,240,225,231
4,255,235,264
4,270,245,294
4,285,211,336
4,300,133,432
5,210,168,94
5,225,215,106
5,240,258,107
5,255,305,86
5,270,344,90
6,255,414,62
6,270,385,69
6,285,345,74
6,300,307,86
6,315,278,90
6,330,227,97
6,345,175,93
6,360,232,102
6,375,176,88
7,285,388,78
7,300,383,70
7,315,348,75
7,330,311,84
7,345,259,82
7,360,277,77
7,375,233,87
8,330,177,464
8,345,201,364
8,360,229,311
8,375,225,256
8,390,208,208
8,405,211,173
8,420,202,154
8,435,204,120
8,450,205,99
8,465,202,86
8,480,206,81
8,495,219,80
8,510,243,66
8,525,286,60
8,540,323,61
8,555,371,59
8,570,406,52
8,585,426,50
8,600,431,50
8,615,430,46
8,630,435,45
8,645,433,40
8,660,434,43
8,675,448,34
8,690,457,25
8,705,458,19
8,720,454,9
9,330,346,461
9,345,344,385
9,360,335,328
9,375,317,268
9,390,308,209
9,405,291,176
9,420,271,143
9,435,255,122
9,450,247,101
9,465,224,111
9,480,253,75
9,495,249,60
9,510,285,60
9,525,304,60
9,540,340,53
9,555,387,43
9,645,452,30
9,660,458,35
10,345,245,449
10,360,275,383
10,375,281,314
10,390,268,239
10,405,261,215
10,420,243,179
10,435,232,154
10,450,228,129
10,465,247,88
10,480,234,92
10,495,257,80
10,510,269,62
10,525,338,68
10,540,374,49
10,555,411,49
10,645,467,29
10,660,466,28
11,345,392,69
11,360,348,90
11,375,324,105
11,390,342,130
11,405,363,161
11,420,403,193
11,435,462,235
11,450,493,290
11,465,521,391
12,390,311,75
12,405,263,82
12,420,206,86
13,510,300,84
13,525,241,92
13,540,200,93
14,510,337,93
14,525,277,89
14,540,229,107
15,675,209,103
15,690,246,120
15,705,270,153
15,720,294,187
15,735,313,232
15,750,323,293
15,765,334,365
15,780,358,455
16,735,407,51
16,750,330,93
16,765,283,132
16,780,267,211
16,795,269,353
17,765,187,104
17,780,216,115
17,795,243,154
17,810,255,185
17,825,273,215
17,840,284,275
17,855,293,342
17,870,325,423
18,780,401,65
18,795,356,83
18,810,332,96
18,825,325,110
18,840,325,138
18,855,313,151
18,870,315,180
18,885,319,225
18,900,325,273
18,915,324,328
18,930,310,403
18,945,328,462
19,1020,321,72
19,1035,294,85
19,1050,274,98
19,1065,272,125
19,1080,273,147
19,1095,279,186
19,1110,296,233
19,1125,307,264
19,1140,339,306
19,1155,403,371
19,1170,463,457
20,1020,347,79
20,1035,323,91
20,1050,305,107
20,1065,305,129
20,1080,314,156
20,1095,326,188
20,1110,328,250
20,1125,349,301
20,1140,379,353
20,1155,370,413
20,1170,366,471
21,1020,424,51
21,1035,398,63
21,1050,370,64
21,1065,337,88
21,1080,329,97
21,1095,323,108
21,1110,330,146
21,1125,329,162
21,1140,327,189
21,1155,326,240
21,1170,315,285
21,1185,308,328
21,1200,279,410
21,1215,280,468
22,1125,195,97
22,1140,226,112
22,1155,253,123
22,1170,272,142
22,1185,292,174
22,1200,314,215
22,1215,324,241
22,1230,320,294
22,1245,326,360
22,1260,331,450
23,1140,204,110
23,1155,221,127
23,1170,210,145
23,1185,231,188
23,1200,247,216
23,1215,267,250
23,1230,281,291
23,1245,280,377
23,1260,257,447
24,1230,409,64
24,1245,358,79
24,1260,328,98
24,1275,318,115
24,1290,305,141
24,1305,311,168
24,1320,323,219
24,1335,319,284
24,1350,326,357
24,1365,306,448
25,1350,206,412
25,1365,256,333
25,1380,277,254
25,1395,280,217
25,1410,286,171
25,1425,290,132
25,1440,304,111
25,1455,322,97
25,1470,366,72
25,1485,398,62
25,1500,430,53
26,1470,250,446
26,1485,269,418
26,1500,289,342
26,1515,301,294
26,1530,304,257
26,1545,307,221
26,1560,313,188
26,1575,322,172
26,1590,343,161
26,1605,360,156
26,1620,356,145
26,1635,364,142
26,1650,360,134
26,1665,363,130
26,1680,363,129
26,1695,358,134
26,1725,363,125
26,1740,358,135
26,1755,361,132
26,1770,360,122
26,1785,364,130
26,1800,360,128
26,1815,356,135
27,1470,228,95
27,1485,275,99
27,1500,328,111
27,1515,376,139
27,1530,407,158
27,1545,451,189
27,1560,510,235
27,1575,543,287
27,1590,609,351
27,1605,678,436
28,1500,169,82
28,1515,191,80
28,1530,199,87
28,1545,209,88
28,1560,215,85
28,1575,216,87
28,1590,226,96
28,1605,248,102
28,1620,265,114
28,1635,291,126
28,1650,312,154
28,1665,326,158
28,1680,342,176
28,1695,360,203
28,1710,358,221
28,1725,366,251
28,1740,371,287
28,1755,397,327
28,1770,408,378
